kind,group,title,source,output,lines,chars,dimensions,concepts,sha1
书籍章节,"001_1000 Chairs (Charlotte Fiell, Peter Fiell",TASCHEN 25th anniversary!,"C:\Users\lenovo\Documents\Codex\2026-05-29\书籍专著\_章节拆分\001_1000 Chairs (Charlotte Fiell, Peter Fiell\01_TASCHEN 25th anniversary!.md","C:\Users\lenovo\Documents\Codex\2026-05-29\层级知识体系分析输出\书籍专著章节\001_1000 Chairs (Charlotte Fiell, Peter Fiell\01_TASCHEN 25th anniversary!_知识体系分析.md",1319,94445,设计本体与问题域；材料媒介与形式语言；人物机构与案例网络；历史语境与社会机制,功能主义；视觉传达；符号系统；研究范式,a481d19d05ea37adc4b9e67e1bb642e4b7781c98
书籍章节,"001_1000 Chairs (Charlotte Fiell, Peter Fiell",Frank Lloyd Wright,"C:\Users\lenovo\Documents\Codex\2026-05-29\书籍专著\_章节拆分\001_1000 Chairs (Charlotte Fiell, Peter Fiell\02_Frank Lloyd Wright.md","C:\Users\lenovo\Documents\Codex\2026-05-29\层级知识体系分析输出\书籍专著章节\001_1000 Chairs (Charlotte Fiell, Peter Fiell\02_Frank Lloyd Wright_知识体系分析.md",802,39497,材料媒介与形式语言；人物机构与案例网络；设计本体与问题域；历史语境与社会机制,功能主义；系统集成；标准化；视觉传达；符号系统；创造性；研究范式,635e78d4044f24fe80fe2b56e8f687734c257def
书籍章节,"001_1000 Chairs (Charlotte Fiell, Peter Fiell",Paul Theodore Frankl,"C:\Users\lenovo\Documents\Codex\2026-05-29\书籍专著\_章节拆分\001_1000 Chairs (Charlotte Fiell, Peter Fiell\03_Paul Theodore Frankl.md","C:\Users\lenovo\Documents\Codex\2026-05-29\层级知识体系分析输出\书籍专著章节\001_1000 Chairs (Charlotte Fiell, Peter Fiell\03_Paul Theodore Frankl_知识体系分析.md",629,27195,材料媒介与形式语言；设计本体与问题域；人物机构与案例网络；历史语境与社会机制,视觉传达；符号系统,76a90f7d219c86e2bf40b8d84907d4180a1555fa
书籍章节,"001_1000 Chairs (Charlotte Fiell, Peter Fiell",Giuseppe Terragni,"C:\Users\lenovo\Documents\Codex\2026-05-29\书籍专著\_章节拆分\001_1000 Chairs (Charlotte Fiell, Peter Fiell\04_Giuseppe Terragni.md","C:\Users\lenovo\Documents\Codex\2026-05-29\层级知识体系分析输出\书籍专著章节\001_1000 Chairs (Charlotte Fiell, Peter Fiell\04_Giuseppe Terragni_知识体系分析.md",1224,54264,材料媒介与形式语言；设计本体与问题域；方法过程与研究范式；历史语境与社会机制,功能主义；视觉传达；符号系统；研究范式,d24b02759acda44d52574dff9e0924a656638938
书籍章节,"001_1000 Chairs (Charlotte Fiell, Peter Fiell","conversation, rest & play","C:\Users\lenovo\Documents\Codex\2026-05-29\书籍专著\_章节拆分\001_1000 Chairs (Charlotte Fiell, Peter Fiell\05_conversation, rest & play.md","C:\Users\lenovo\Documents\Codex\2026-05-29\层级知识体系分析输出\书籍专著章节\001_1000 Chairs (Charlotte Fiell, Peter Fiell\05_conversation, rest & play_知识体系分析.md",9436,416086,材料媒介与形式语言；设计本体与问题域；技术思维与制造逻辑；历史语境与社会机制,功能主义；系统集成；视觉传达；符号系统；创造性；研究范式,1b8115071f8dba253aa61450290299ca8a913258
书籍章节,"002_A bibliography of the Kelmscott Press (Peterson, William S",前言与目录,"C:\Users\lenovo\Documents\Codex\2026-05-29\书籍专著\_章节拆分\002_A bibliography of the Kelmscott Press (Peterson, William S\00_前言与目录.md","C:\Users\lenovo\Documents\Codex\2026-05-29\层级知识体系分析输出\书籍专著章节\002_A bibliography of the Kelmscott Press (Peterson, William S\00_前言与目录_知识体系分析.md",3630,378462,人物机构与案例网络；设计本体与问题域；材料媒介与形式语言；历史语境与社会机制,符号系统；研究范式,5c1aebe5e0bc3d2336626bfba79750f3f07b38b5
书籍章节,"002_A bibliography of the Kelmscott Press (Peterson, William S","WILLIAM MORRIS. Died October 3rd, 1896.","C:\Users\lenovo\Documents\Codex\2026-05-29\书籍专著\_章节拆分\002_A bibliography of the Kelmscott Press (Peterson, William S\01_WILLIAM MORRIS. Died October 3rd, 1896.md","C:\Users\lenovo\Documents\Codex\2026-05-29\层级知识体系分析输出\书籍专著章节\002_A bibliography of the Kelmscott Press (Peterson, William S\01_WILLIAM MORRIS. Died October 3rd, 1896_知识体系分析.md",1780,45954,人物机构与案例网络；历史语境与社会机制；设计本体与问题域；材料媒介与形式语言,符号系统；研究范式,40f92bc6250840673ef606c90c71c999cc0d0b1c
书籍章节,"002_A bibliography of the Kelmscott Press (Peterson, William S",ADDENDA AND ERRATA (August 1985),"C:\Users\lenovo\Documents\Codex\2026-05-29\书籍专著\_章节拆分\002_A bibliography of the Kelmscott Press (Peterson, William S\02_ADDENDA AND ERRATA (August 1985.md","C:\Users\lenovo\Documents\Codex\2026-05-29\层级知识体系分析输出\书籍专著章节\002_A bibliography of the Kelmscott Press (Peterson, William S\02_ADDENDA AND ERRATA (August 1985_知识体系分析.md",94,2137,材料媒介与形式语言；人物机构与案例网络；设计本体与问题域；历史语境与社会机制,,de356bd6b74a8619573fd498867189607d6a4798
书籍章节,003_A century of design design pioneers of the 20th century (Spa,前言与目录,C:\Users\lenovo\Documents\Codex\2026-05-29\书籍专著\_章节拆分\003_A century of design design pioneers of the 20th century (Spa\00_前言与目录.md,C:\Users\lenovo\Documents\Codex\2026-05-29\层级知识体系分析输出\书籍专著章节\003_A century of design design pioneers of the 20th century (Spa\00_前言与目录_知识体系分析.md,5225,575149,设计本体与问题域；人物机构与案例网络；历史语境与社会机制；材料媒介与形式语言,广义设计；功能主义；系统集成；标准化；视觉传达；符号系统；设计思维；创造性；研究范式,9d1901adf69f4ec0a8601b61223e24ea2cb143c2
书籍章节,003_A century of design design pioneers of the 20th century (Spa,CHAPTER I,C:\Users\lenovo\Documents\Codex\2026-05-29\书籍专著\_章节拆分\003_A century of design design pioneers of the 20th century (Spa\01_CHAPTER I.md,C:\Users\lenovo\Documents\Codex\2026-05-29\层级知识体系分析输出\书籍专著章节\003_A century of design design pioneers of the 20th century (Spa\01_CHAPTER I_知识体系分析.md,67,1355,设计本体与问题域；材料媒介与形式语言；人物机构与案例网络,符号系统,5d66ace9b89cde7827b250abb6513b9d4a336afa
